Match Order,Venue,Date & Time,Result,Team 1 Code,Team 1 Score,Team 1 Overs,Team 2 Code,Team 2 Score,Team 2 Overs,Comments
FINAL,"MA Chidambaram Stadium, Chennai","MAY, SUN 26 , 7:30 pm IST",KOLKATA KNIGHT RIDERS WON BY 8 WICKETS (WINNERS),KKR,114/2,(10.3 OV),SRH,113,(18.3 OV ),KOLKATA KNIGHT RIDERS WON BY 8 WICKETS (WINNERS)
QUALIFIER 2,"MA Chidambaram Stadium, Chennai","MAY, FRI 24 , 7:30 pm IST",SUNRISERS HYDERABAD WON BY 36 RUNS (QUALIFIED),SRH,175/9,(20.0 OV),RR,139/7,(20.0 OV ),SUNRISERS HYDERABAD WON BY 36 RUNS (QUALIFIED)
ELIMINATOR,"Narendra Modi Stadium, Ahmedabad","MAY, WED 22 , 7:30 pm IST",RAJASTHAN ROYALS WON BY 4 WICKETS (QUALIFIED),RR,174/6,(19.0 OV),RCB,172/8,(20.0 OV ),RAJASTHAN ROYALS WON BY 4 WICKETS (QUALIFIED)
QUALIFIER 1,"Narendra Modi Stadium, Ahmedabad","MAY, TUE 21 , 7:30 pm IST",KOLKATA KNIGHT RIDERS WON BY 8 WICKETS (QUALIFIED),KKR,164/2,(13.4 OV),SRH,159,(19.3 OV ),KOLKATA KNIGHT RIDERS WON BY 8 WICKETS (QUALIFIED)
MATCH 70,"Barsapara Cricket Stadium, Guwahati","MAY, SUN 19 , 7:30 pm IST",MATCH ABANDONED,RR,N/A,N/A,KKR,N/A,N/A,MATCH ABANDONED
MATCH 69,"Rajiv Gandhi International Stadium, Hyderabad","MAY, SUN 19 , 3:30 pm IST",SUNRISERS HYDERABAD WON BY 4 WICKETS,SRH,215/6,(19.1 OV),PBKS,214/5,(20.0 OV ),SUNRISERS HYDERABAD WON BY 4 WICKETS
MATCH 68,"M Chinnaswamy Stadium, Bengaluru","MAY, SAT 18 , 7:30 pm IST",ROYAL CHALLENGERS BENGALURU WON BY 27 RUNS,RCB,218/5,(20.0 OV),CSK,191/7,(20.0 OV ),ROYAL CHALLENGERS BENGALURU WON BY 27 RUNS
MATCH 67,"Wankhede Stadium, Mumbai","MAY, FRI 17 , 7:30 pm IST",LUCKNOW SUPER GIANTS WON BY 18 RUNS,MI,196/6,(20.0 OV),LSG,214/6,(20.0 OV ),LUCKNOW SUPER GIANTS WON BY 18 RUNS
MATCH 66,"Rajiv Gandhi International Stadium, Hyderabad","MAY, THU 16 , 7:30 pm IST",MATCH ABANDONED,SRH,N/A,N/A,GT,N/A,N/A,MATCH ABANDONED
MATCH 65,"Barsapara Cricket Stadium, Guwahati","MAY, WED 15 , 7:30 pm IST",PUNJAB KINGS WON BY 5 WICKETS,RR,144/9,(20.0 OV),PBKS,145/5,(18.5 OV ),PUNJAB KINGS WON BY 5 WICKETS
